#BLTrackFile2 CALOCNTR
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
13.6682 3.04727 18000 -1.90864 0.306277 66.0862 140.447 211 143303 1 1 1 0 0 0 0 0 0 125.279 17791.1 0 0 0 9.86 4.85611 149.95 1.82298 14.8674 
29.05 29.4434 18000 0.470895 -0.464673 70.2974 133.873 211 145528 1 1 1 0 0 0 0 0 0 118.367 17873.8 0 0 0 -4.49383 -0.138011 149.95 1.33917 16.7052 
-33.3114 -15.5548 18000 -3.15352 -0.679548 59.4702 154.138 211 155840 1 1 1 0 0 0 0 0 0 139.952 17903.7 0 0 0 3.09542 2.19409 149.95 1.9768 12.1761 
12.7969 0.668782 18000 1.94616 -3.32486 65.8244 140.441 211 156684 1 1 1 0 0 0 0 0 0 125.559 17783 0 0 0 11.1648 -3.46812 149.95 1.57577 14.7915 
-36.9415 3.07123 18000 1.58725 1.12258 67.7469 137.155 211 161511 1 1 1 0 0 0 0 0 0 122.197 17789.2 0 0 0 -4.33662 5.58644 149.95 1.31255 15.5854 
-23.4078 -2.894 18000 -0.977312 -3.32626 63.2342 145.458 211 163928 1 1 1 0 0 0 0 0 0 130.886 17804.3 0 0 0 -1.49679 4.04408 149.95 1.7294 13.6957 
7.17801 5.55117 18000 1.64071 0.779323 63.4229 145.215 211 166984 1 1 1 0 0 0 0 0 0 130.718 17815.1 0 0 0 17.9021 5.91314 149.95 1.62338 13.7452 
26.0609 9.18226 18000 -0.20816 0.906311 63.3651 145.435 211 169689 1 1 1 0 0 0 0 0 0 130.976 17828.6 0 0 0 26.5471 3.3047 149.95 1.5907 13.7134 
-23.1752 -1.87882 18000 0.625344 0.17055 65.6513 140.709 211 170310 1 1 1 0 0 0 0 0 0 126.004 17769.6 0 0 0 3.10313 -1.90672 149.95 1.45915 14.671 
-25.4753 -14.6387 18000 1.97941 0.203002 69.4943 134.795 211 172783 1 1 1 0 0 0 0 0 0 119.305 17816.1 0 0 0 10.9776 -0.106132 149.95 1.50803 16.3569 
27.1959 33.9814 18000 -0.628494 -0.746319 68.1627 136.888 211 172875 1 1008 1 0 0 0 0 0 0 121.444 17782.5 0 0 0 28.8723 5.65853 149.95 1.73265 15.7583 
-26.5886 -0.872803 18000 -1.04521 0.0805053 63.5795 144.464 211 172932 1 1 1 0 0 0 0 0 0 130.281 17794.5 0 0 0 -15.0549 1.0666 149.95 1.29848 13.8029 
34.888 2.22592 18000 0.752333 0.934283 65.2483 141.932 211 173196 1 1 1 0 0 0 0 0 0 127.217 17832.7 0 0 0 38.9391 -6.86969 149.95 1.49569 14.5032 
-22.9349 0.822596 18000 0.713848 0.986497 67.6943 137.532 211 175216 1 1 1 0 0 0 0 0 0 122.303 17786.4 0 0 0 10.5012 7.30222 149.95 1.59891 15.5551 
2.71301 9.80347 18000 -0.627428 2.74087 63.3485 145.308 211 175231 1 1 1 0 0 0 0 0 0 130.654 17795.6 0 0 0 26.9013 4.81298 149.95 1.8023 13.7294 
26.8646 12.8429 18000 0.614815 -0.369226 64.3379 143.538 211 180393 1 1 1 0 0 0 0 0 0 128.964 17823.4 0 0 0 31.491 7.10068 149.95 1.52956 14.1169 
-19.6906 1.19571 18000 0.716893 -0.286297 63.9367 143.865 211 181632 1 1 1 0 0 0 0 0 0 129.465 17781.3 0 0 0 0.433343 1.23454 149.95 1.46017 13.9496 
-30.2523 -3.30379 18000 0.476085 -0.0829881 65.1489 141.546 211 182355 1 1 1 0 0 0 0 0 0 127.025 17776 0 0 0 -4.49566 -3.68682 149.95 1.36337 14.4573 
-22.6227 0.385396 18000 -1.95914 0.0586603 63.5267 144.888 211 183088 1 1 1 0 0 0 0 0 0 130.351 17795.3 0 0 0 -12.1812 -0.582988 149.95 1.65809 13.7899 
-26.3475 13.7437 18000 0.109694 -0.924822 65.7375 140.646 211 184955 1 1 1 0 0 0 0 0 0 125.894 17778.3 0 0 0 -1.63259 5.58587 149.95 1.48436 14.7092 
-3.67737 1.75059 18000 -0.854572 0.889312 61.6577 148.83 211 186633 1 1 1 0 0 0 0 0 0 134.512 17818.1 0 0 0 6.59605 -0.289143 149.95 1.77254 13.0176 
