# g4beamline profile
#Z N meanX sigmaX meanY sigmaY emitX emitY emitTrans betaX betaY betaTrans alphaX alphaY alphaTrans meanP
#mm - mm mm mm mm mm-rad mm-rad mm-rad mm mm mm - - - MeV/c
2403.1 10876 -26.527 122.570 2.353 71.040 3.493 1.334 2.158 3647 1225 2436 -2.073 0.6704 -0.7015 73.66
2413.1 10851 -26.793 122.891 2.336 70.660 3.483 1.335 2.157 3670 1213 2442 -1.945 0.6199 -0.6628 73.63
2423.1 10815 -26.913 123.071 2.245 70.278 3.469 1.337 2.153 3686 1202 2444 -1.81 0.5699 -0.6201 73.6
2433.1 10778 -27.076 123.216 2.297 69.886 3.455 1.336 2.148 3703 1191 2447 -1.674 0.5205 -0.5769 73.56
2443.1 10749 -27.302 123.364 2.286 69.568 3.443 1.337 2.146 3716 1182 2449 -1.536 0.4714 -0.5325 73.53
2453.1 10708 -27.262 123.523 2.359 69.130 3.433 1.336 2.142 3731 1169 2450 -1.397 0.4226 -0.4873 73.46
2463.1 10682 -27.397 123.648 2.407 68.842 3.423 1.337 2.139 3742 1160 2451 -1.259 0.3744 -0.4424 73.43
2473.1 10654 -27.589 123.772 2.296 68.521 3.415 1.336 2.136 3755 1151 2453 -1.122 0.3272 -0.3972 73.39
2483.1 10625 -27.594 123.771 2.293 68.299 3.403 1.337 2.133 3758 1144 2451 -0.9799 0.2796 -0.3501 73.35
2493.1 10601 -27.742 123.774 2.307 68.095 3.394 1.338 2.131 3762 1139 2451 -0.8412 0.2327 -0.3043 73.32
2503.1 10577 -27.868 123.788 2.273 67.875 3.386 1.338 2.128 3767 1132 2450 -0.7002 0.1863 -0.257 73.28
2513.1 10560 -28.152 123.792 2.301 67.699 3.379 1.337 2.126 3770 1128 2449 -0.5616 0.1397 -0.2109 73.26
2523.1 10545 -28.432 123.791 2.299 67.535 3.375 1.336 2.124 3773 1123 2448 -0.4234 0.09386 -0.1648 73.24
2533.1 10529 -28.728 123.793 2.249 67.357 3.37 1.334 2.121 3778 1118 2448 -0.2848 0.04901 -0.1179 73.21
2543.1 10505 -28.809 123.586 2.179 67.251 3.359 1.334 2.117 3770 1116 2443 -0.1419 0.003988 -0.06894 73.17
2553.1 10491 -29.087 123.453 2.128 67.168 3.354 1.333 2.115 3765 1114 2439 -0.003987 -0.04153 -0.02276 73.14
